,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
295,Ildemaro Vargas#,30,TOT,NL,63,222,209,19,55,13,1,4,23,3,1,8,23,0.263,0.299,0.392,0.691,98,82,6,3,1,1,0
296,Ildemaro Vargas#,30,WSN,NL,53,196,186,15,52,13,0,3,19,3,1,5,21,0.28,0.308,0.398,0.706,103,74,5,3,1,1,0
297,Daulton Varsho,25,ARI,NL,151,592,531,79,125,23,3,27,74,16,6,46,145,0.235,0.302,0.443,0.745,109,235,8,7,2,5,0
298,Andrew Vaughn,24,CHW,AL,134,555,510,60,138,28,1,17,76,0,0,31,96,0.271,0.321,0.429,0.75,111,219,13,9,0,5,0
299,Christian Vázquez,31,TOT,AL,119,426,398,41,109,23,0,9,52,1,4,22,69,0.274,0.315,0.399,0.714,99,159,10,3,0,3,0
300,Christian Vázquez,31,BOS,AL,84,318,294,33,83,20,0,8,42,1,2,18,51,0.282,0.327,0.432,0.759,109,127,7,3,0,3,0
301,Alex Verdugo,26,BOS,AL,152,644,593,75,166,39,1,11,74,1,3,42,86,0.28,0.328,0.405,0.732,102,240,14,3,0,6,2
302,Jonathan Villar#,31,TOT,MLB,59,220,202,25,42,6,2,3,18,7,0,15,59,0.208,0.26,0.302,0.562,59,61,4,0,1,2,0
303,Jonathan Villar#,31,CHC,NL,46,166,153,19,34,6,2,2,15,6,0,11,42,0.222,0.271,0.327,0.598,69,50,3,0,0,2,0
304,Daniel Vogelbach,29,PIT,NL,75,278,237,29,54,10,1,12,34,0,0,40,67,0.228,0.338,0.43,0.769,116,102,8,0,0,1,1
305,Luke Voit,31,TOT,NL,135,568,500,55,113,22,0,22,69,1,1,55,179,0.226,0.308,0.402,0.71,106,201,9,7,0,6,1
306,Luke Voit,31,SDP,NL,82,344,298,38,67,18,0,13,48,1,1,39,110,0.225,0.317,0.416,0.733,113,124,5,3,0,4,1
307,Luke Voit,31,WSN,NL,53,224,202,17,46,4,0,9,21,0,0,16,69,0.228,0.295,0.381,0.676,95,77,4,4,0,2,0
308,Joey Votto,38,CIN,NL,91,376,322,31,66,18,1,11,41,0,0,44,97,0.205,0.319,0.37,0.689,87,119,8,10,0,0,0
309,Christian Walker,31,ARI,NL,160,667,583,84,141,25,2,36,94,2,2,69,131,0.242,0.327,0.477,0.804,126,278,15,8,0,7,2
310,Jared Walsh,28,LAA,AL,118,454,423,41,91,18,2,15,44,2,1,27,138,0.215,0.269,0.374,0.642,81,158,6,4,0,0,4
311,Taylor Ward,28,LAA,AL,135,564,495,73,139,22,2,23,65,5,3,60,120,0.281,0.36,0.473,0.833,135,234,5,4,0,5,0
312,Joey Wendle,32,MIA,NL,101,371,347,27,90,24,1,3,32,12,3,15,50,0.259,0.297,0.36,0.658,86,125,7,5,1,3,0
313,Jesse Winker,28,SEA,AL,136,547,456,51,100,15,0,14,53,0,0,84,103,0.219,0.344,0.344,0.688,103,157,8,4,0,3,1
314,Patrick Wisdom,30,CHC,NL,134,534,469,67,97,28,0,25,66,8,4,53,183,0.207,0.298,0.426,0.725,102,200,8,9,1,2,1
315,Bobby Witt,22,KCR,AL,150,632,591,82,150,31,6,20,80,30,7,30,135,0.254,0.294,0.428,0.722,102,253,12,6,0,5,2
316,Kolten Wong,31,MIL,NL,134,497,430,65,108,24,4,15,47,17,6,46,88,0.251,0.339,0.43,0.77,118,185,5,14,2,5,2
317,Mike Yastrzemski,31,SFG,NL,148,558,485,73,104,31,2,17,57,5,1,61,141,0.214,0.305,0.392,0.697,96,190,3,5,1,6,0
318,Christian Yelich,30,MIL,NL,154,671,575,99,145,25,4,14,57,19,3,88,162,0.252,0.355,0.383,0.738,111,220,9,5,1,2,5
319,Juan Yepez,24,STL,NL,76,274,253,27,64,13,0,12,30,0,0,16,61,0.253,0.296,0.447,0.742,111,113,6,1,0,4,0
